날짜,스트레스,건강,습관
2024-07-14,40.20021,24.23603,12.38145
2024-07-15,50.47418,36.77555,13.01369
2024-07-16,52.37091,33.77239,13.3825
2024-07-17,50.7903,42.09694,13.22444
2024-07-18,49.05163,39.93677,15.4373
2024-07-19,42.41306,36.67017,12.22339
2024-07-20,36.1433,31.87565,10.48472
2024-07-21,41.46469,28.29293,11.01159
2024-07-22,48.94625,38.04004,12.96101
2024-07-23,51.52792,42.09694,13.64594
2024-07-24,45.04741,39.98946,13.75131
2024-07-25,47.73445,38.67228,12.06533
2024-07-26,43.62486,36.51211,10.90621
2024-07-27,34.77344,30.55848,10.43203
2024-07-28,36.35405,19.33614,11.80189
2024-07-29,38.88303,37.98735,12.5922
2024-07-30,41.14857,37.98735,10.37934
2024-07-31,36.1433,40.35827,11.64383
2024-08-01,39.30453,41.0432,11.85458
2024-08-02,37.19704,34.82613,10.11591
2024-08-03,31.71759,22.86617,8.16649
2024-08-04,34.82613,23.65648,10.74815
2024-08-05,39.19915,33.08746,10.5374
2024-08-06,41.0432,34.1412,11.59114
2024-08-07,38.9884,34.51001,12.85563
2024-08-08,38.30347,29.87355,12.22339
2024-08-09,40.25289,28.97787,12.27608
2024-08-10,37.61854,23.12961,9.53635
2024-08-11,35.353,25.86933,10.22128
2024-08-12,40.67439,32.61327,11.16965
2024-08-13,41.8335,33.93045,12.69757
2024-08-14,43.25605,35.51106,14.54162
2024-08-15,38.35616,22.97154,10.27397
2024-08-16,38.93572,30.82191,11.06427
2024-08-17,34.9315,25.76396,9.22023
2024-08-18,36.1433,20.86406,12.27608
2024-08-19,44.15173,36.09062,12.06533
2024-08-20,51.2118,39.72602,11.27502
2024-08-21,48.10326,37.09167,12.53951
2024-08-22,50.21074,36.09062,13.85669
2024-08-23,44.41517,34.35194,13.17175
2024-08-24,38.35616,23.49841,10.59009
2024-08-25,35.353,27.39726,12.01264
2024-08-26,48.99894,38.1981,14.33087
2024-08-27,47.04952,38.35616,14.75237
2024-08-28,46.62802,37.93466,13.96206
2024-08-29,45.31085,35.24762,13.3825
2024-08-30,46.57534,32.40252,11.95995
